"No.","Time","Source","Destination","Protocol","Length","srcport","dstport"
"104","12:37:05.375639","192.168.1.102","61.159.70.106","UDP","267","14786","38696"
"105","12:37:05.375664","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"106","12:37:05.382016","192.168.1.102","58.37.205.116","eDonkey","69","25165","4672"
"107","12:37:05.382091","192.168.1.102","89.206.7.131","eDonkey","44","25165","4672"
"108","12:37:05.382138","192.168.1.102","168.226.245.6","UDP","44","25165","121"
"109","12:37:05.382182","192.168.1.102","122.124.70.127","UDP","44","25165","6261"
"110","12:37:05.382224","192.168.1.102","68.183.250.5","UDP","44","25165","64993"
"111","12:37:05.382293","192.168.1.102","82.230.5.169","UDP","44","25165","14431"
"112","12:37:05.382335","192.168.1.102","83.84.95.156","eDonkey","44","25165","4672"
"113","12:37:05.483083","58.37.205.116","192.168.1.102","ICMP","97","25165","4672"
"114","12:37:05.578182","192.168.1.102","188.162.193.194","UDP","62","43759","64667"
"115","12:37:05.729970","103.208.153.194","192.168.1.102","ICMP","90","43759","19795"
"116","12:37:05.729970","103.208.153.194","192.168.1.102","TCP","54","19795","52100"
"117","12:37:05.768260","IntelCor_66:84:ce","Broadcast","ARP","42","",""
"118","12:37:05.862347","192.168.1.102","210.195.248.3","TCP","54","52070","14660"
"119","12:37:05.885039","111.122.110.131","192.168.1.102","UDP","140","54321","14786"
"120","12:37:05.955941","192.168.1.102","111.122.110.131","UDP","88","14786","54321"
"121","12:37:05.999266","192.168.1.102","65.200.22.34","TCP","55","51895","80"
"122","12:37:06.040919","61.159.70.106","192.168.1.102","UDP","91","38696","14786"
"123","12:37:06.041030","192.168.1.102","61.159.70.106","UDP","242","14786","38696"
"124","12:37:06.065338","192.168.1.102","111.122.110.131","UDP","943","14786","54321"
"125","12:37:06.097247","61.159.70.106","192.168.1.102","UDP","95","38696","14786"
"126","12:37:06.097248","61.159.70.106","192.168.1.102","UDP","92","38696","14786"
"127","12:37:06.116476","192.168.1.102","239.255.255.250","SSDP","215","49824","1900"
"128","12:37:06.131306","192.168.1.102","111.122.110.131","UDP","1010","14786","54321"
"129","12:37:06.146495","61.159.70.106","192.168.1.102","UDP","91","38696","14786"
"130","12:37:06.146496","61.159.70.106","192.168.1.102","UDP","93","38696","14786"
"131","12:37:06.146588","192.168.1.102","61.159.70.106","UDP","833","14786","38696"
"132","12:37:06.164885","61.159.70.106","192.168.1.102","UDP","92","38696","14786"
"133","12:37:06.164991","192.168.1.102","61.159.70.106","UDP","303","14786","38696"
"134","12:37:06.165056","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"135","12:37:06.165089","192.168.1.102","61.159.70.106","UDP","1443","14786","38696"
"136","12:37:06.191447","192.168.1.102","111.122.110.131","UDP","994","14786","54321"
"137","12:37:06.212133","65.200.22.34","192.168.1.102","TCP","66","80","51895"
"138","12:37:06.229382","192.168.1.102","103.208.153.194","TCP","66","52100","19795"
"139","12:37:06.238328","192.168.1.102","65.200.22.17","TCP","55","51901","80"
"140","12:37:06.253458","192.168.1.102","111.122.110.131","UDP","1009","14786","54321"
"141","12:37:06.271779","192.168.1.102","113.140.11.1","ICMP","74","",""
"142","12:37:06.300440","113.140.11.1","192.168.1.102","ICMP","74","",""
"143","12:37:06.315486","192.168.1.102","111.122.110.131","UDP","994","14786","54321"
"144","12:37:06.316623","192.168.1.102","203.142.76.194","UDP","62","43759","21341"
"145","12:37:06.326422","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"146","12:37:06.332477","192.168.1.102","115.114.108.225","TCP","66","52088","60634"
"147","12:37:06.377576","192.168.1.102","111.122.110.131","UDP","1010","14786","54321"
"148","12:37:06.377778","192.168.1.102","124.14.250.228","UDP","44","25165","6651"
"149","12:37:06.377840","192.168.1.102","202.156.140.80","UDP","44","25165","4674"
"150","12:37:06.377896","192.168.1.102","220.165.206.55","UDP","44","25165","40234"
"151","12:37:06.377950","192.168.1.102","124.161.201.225","UDP","44","25165","6263"
"152","12:37:06.378000","192.168.1.102","218.87.52.63","UDP","44","25165","4680"
"153","12:37:06.378053","192.168.1.102","80.8.207.132","UDP","44","25165","7461"
"154","12:37:06.378102","192.168.1.102","203.122.125.220","UDP","44","25165","4675"
"155","12:37:06.378152","192.168.1.102","220.231.157.10","UDP","44","25165","6267"
"156","12:37:06.437973","111.122.110.131","192.168.1.102","UDP","90","54321","14786"
"157","12:37:06.437974","218.87.52.63","192.168.1.102","ICMP","72","25165","4680"
"158","12:37:06.442592","192.168.1.102","111.122.110.131","UDP","1309","14786","54321"
"159","12:37:06.444998","220.165.206.55","192.168.1.102","ICMP","72","25165","40234"
"160","12:37:06.444999","65.200.22.17","192.168.1.102","TCP","66","80","51901"
"161","12:37:06.502663","192.168.1.102","111.122.110.131","UDP","1332","14786","54321"
"162","12:37:06.568627","192.168.1.102","111.122.110.131","UDP","1310","14786","54321"
"163","12:37:06.570618","192.168.1.102","87.101.228.146","UDP","62","43759","49160"
"164","12:37:06.570660","192.168.1.102","115.114.108.225","UDP","62","43759","60634"
"165","12:37:06.588089","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"166","12:37:06.627750","192.168.1.102","111.122.110.131","UDP","1332","14786","54321"
"167","12:37:06.668739","61.159.70.106","192.168.1.102","UDP","140","38696","14786"
"168","12:37:06.668740","103.208.153.194","192.168.1.102","TCP","54","19795","52100"
"169","12:37:06.668740","203.142.76.194","192.168.1.102","ICMP","90","43759","21341"
"170","12:37:06.668838","192.168.1.102","61.159.70.106","UDP","120","14786","38696"
"171","12:37:06.668900","192.168.1.102","61.159.70.106","UDP","1479","14786","38696"
"172","12:37:06.668931","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"173","12:37:06.668959","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"174","12:37:06.668985","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"175","12:37:06.669011","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"176","12:37:06.669038","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"177","12:37:06.669063","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"178","12:37:06.690809","192.168.1.102","111.122.110.131","UDP","1311","14786","54321"
"179","12:37:06.705832","192.168.1.102","110.225.17.4","TCP","54","52084","16961"
"180","12:37:06.709356","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"181","12:37:06.733225","61.159.70.106","192.168.1.102","UDP","89","38696","14786"
"182","12:37:06.733334","192.168.1.102","61.159.70.106","UDP","984","14786","38696"
"183","12:37:06.752865","192.168.1.102","111.122.110.131","UDP","1330","14786","54321"
"184","12:37:06.754274","61.159.70.106","192.168.1.102","UDP","141","38696","14786"
"185","12:37:06.754275","61.159.70.106","192.168.1.102","UDP","89","38696","14786"
"186","12:37:06.754377","192.168.1.102","61.159.70.106","UDP","88","14786","38696"
"187","12:37:06.814919","192.168.1.102","111.122.110.131","UDP","1310","14786","54321"
"188","12:37:06.830540","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"189","12:37:06.879953","192.168.1.102","111.122.110.131","UDP","1329","14786","54321"
"190","12:37:06.938888","111.122.110.131","192.168.1.102","UDP","89","54321","14786"
"191","12:37:06.939999","192.168.1.102","111.122.110.131","UDP","1184","14786","54321"
"192","12:37:06.940084","192.168.1.102","61.159.70.106","UDP","212","14786","38696"
"193","12:37:06.973295","192.168.1.102","193.138.221.213","TCP","66","52104","4242"
"194","12:37:07.003050","192.168.1.102","61.159.70.106","UDP","1332","14786","38696"
"195","12:37:07.008017","192.168.1.102","220.181.111.188","TCP","54","52097","443"
"196","12:37:07.065086","192.168.1.102","61.159.70.106","UDP","1310","14786","38696"
"197","12:37:07.065946","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"198","12:37:07.128137","192.168.1.102","61.159.70.106","UDP","1330","14786","38696"
"199","12:37:07.169137","192.168.1.102","103.208.153.194","TCP","66","52100","19795"
"200","12:37:07.192197","192.168.1.102","61.159.70.106","UDP","1309","14786","38696"
"201","12:37:07.252086","111.122.110.131","192.168.1.102","UDP","89","54321","14786"
"202","12:37:07.255146","192.168.1.102","61.159.70.106","UDP","1332","14786","38696"
"203","12:37:07.273924","192.168.1.102","113.140.11.1","ICMP","74","",""
"204","12:37:07.315262","192.168.1.102","61.159.70.106","UDP","1312","14786","38696"
"205","12:37:07.316760","113.140.11.1","192.168.1.102","ICMP","74","",""
"206","12:37:07.317172","192.168.1.102","162.226.53.149","TCP","66","52098","30030"
"207","12:37:07.323247","192.168.1.102","69.165.192.130","TCP","66","52089","43967"
"208","12:37:07.323247","192.168.1.102","218.93.195.162","TCP","66","52095","6889"
"209","12:37:07.323247","192.168.1.102","179.198.185.99","TCP","66","52091","26357"
"210","12:37:07.323249","192.168.1.102","173.249.142.158","TCP","66","52092","12598"
"211","12:37:07.323249","192.168.1.102","83.63.153.229","TCP","66","52093","57184"
"212","12:37:07.342930","61.159.70.106","192.168.1.102","UDP","141","38696","14786"
"213","12:37:07.379338","192.168.1.102","61.159.70.106","UDP","1331","14786","38696"
"214","12:37:07.381535","192.168.1.102","86.21.35.202","eDonkey","44","25165","4672"
"215","12:37:07.381604","192.168.1.102","59.175.105.197","UDP","44","25165","5623"
"216","12:37:07.381658","192.168.1.102","190.64.214.180","eDonkey","44","25165","4672"
"217","12:37:07.381709","192.168.1.102","220.141.120.166","eDonkey","44","25165","4672"
"218","12:37:07.381762","192.168.1.102","81.154.94.45","UDP","44","25165","5626"
"219","12:37:07.381812","192.168.1.102","121.27.73.194","UDP","44","25165","5155"
"220","12:37:07.381863","192.168.1.102","201.213.188.237","eDonkey","69","25165","4672"
"221","12:37:07.381917","192.168.1.102","83.187.52.130","eDonkey","44","25165","4672"
